age,name,address,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
30,giovanni kessler,"17864 Grace Field\nLonzoborough, IN 28057",unemployed,married,primary,no,1787,no,no,cellular,19,oct,79,1,-1,0,unknown,no
33,domenico swift,"3887RATKEMEADOWS\NNORTHLEANNATON,VI94092-4948",services,married,secondary,no,4789,yes,yes,cellular,11,may,220,1,339,4,failure,no
35,talon gulgowski,"056 pfannerstill cape st.\neast marta, nj 21058",management,single,tertiary,no,1350,yes,no,cellular,16,apr,185,1,330,1,failure,no
30,cayla pagac,"146 gay fort suite 622\nwest kathryn, la 81781",management,married,tertiary,no,1476,yes,yes,unknown,3,jun,199,4,-1,0,unknown,no
59,sim ratke,"779 Hegmann Harbors St.\nIsaacmouth, MS 13269-9176",blue-collar,married,secondary,no,0,yes,no,unknown,5,may,226,1,-1,0,unknown,no
35,richmond effertz,"3547 Treutel Crossing Apt. 567\nReillytown, AS 77039-3937",management,single,tertiary,no,747,no,no,cellular,23,feb,141,2,176,3,failure,no
36,lauren mcclure,"177CorneliusCampApt.478\nNikolausbury,AA16457-1154",self-employed,married,tertiary,no,307,yes,no,cellular,14,may,341,1,330,2,other,no
39,arlo jerde,"002WILB3RSPRINGSUIT3520\N0'C0NN3LLF0RT,D398660",technician,married,secondary,no,147,yes,no,cellular,6,may,151,2,-1,0,unknown,no
41,johnpaul sipes,"03665StrosinRapid\nOrnstad,CA42709",entrepreneur,married,tertiary,no,221,yes,no,unknown,14,may,57,2,-1,0,unknown,no
43,justina willms,"03353CORKERYPRAIRIE\NWESTLONNIE,AR87918-1164",services,married,primary,no,-88,yes,yes,cellular,17,apr,313,1,147,2,failure,no
39,bartholome spencer,"031 mya lane st.\nnorth martinaview, ca 26451-3340",services,married,secondary,no,9374,yes,no,unknown,20,may,273,1,-1,0,unknown,no
43,liana kunde,"454 Witting Und3rpass Suit3 619\nB0gisichsid3, AA 81184-8176",admin.,married,secondary,no,264,yes,no,cellular,17,apr,113,2,-1,0,unknown,no
36,juliet okuneva,"1629FERNANDOSTRAVENUESUITE391\NNEWADAHLAND,CT83168",technician,married,tertiary,no,1109,no,no,cellular,13,aug,328,2,-1,0,unknown,no
20,anastacio weber,"354 KLING VILLAGES ST.\NNORTH WINNIFRED, WA 29922",student,single,secondary,no,502,no,no,cellular,30,apr,261,1,-1,0,unknown,yes
31,donavon witting,"0036 0'R3illy Gr0v3s Apt. 281\nPark3rvill3, VA 86050-0641",blue-collar,married,secondary,no,360,yes,yes,cellular,29,jan,89,1,241,1,failure,no
40,consuelo douglas,"974 Schupp3 Missi0n Suit3 876\nN0rth Franc3s, PR 41206",management,married,tertiary,no,194,no,yes,cellular,29,aug,189,2,-1,0,unknown,no
56,marcelino hegmann,"256 kihn forge st.\nfelipemouth, mo 23964",technician,married,secondary,no,4073,no,no,cellular,27,aug,239,5,-1,0,unknown,no
37,therese boyer,"84007 K3agan Cr0ssing\nN3w J0rdynm0uth, WI 12784",admin.,single,tertiary,no,2317,yes,no,cellular,20,apr,114,1,152,2,failure,no
25,cordie heathcote,"72883rn3stin3Man0rsAv3.\n3astKathryn,RI88390-6720",blue-collar,single,primary,no,-221,yes,no,unknown,23,may,250,1,-1,0,unknown,no
31,adalberto oberbrunner,"52473RN3STINACLUBAV3.\N3ASTJ0NATHANBURGH,VA41037-0979",services,married,secondary,no,132,no,no,cellular,7,jul,148,1,152,1,other,no
38,lilla jewess,"5576Juv3nalPin3sApt.089\nM0rarb0r0ugh,ND22891",management,divorced,unknown,no,0,yes,no,cellular,18,nov,96,2,-1,0,unknown,no
42,merlin hoeger,"175 Kerluke Coves St.\nEast Camyllebury, WI 89425-9888",management,divorced,tertiary,no,16,no,no,cellular,19,nov,140,3,-1,0,unknown,no
44,olin hudson,"874 hyman summit st.\n3ast cl3m3ntin3, tx 46654",services,single,secondary,no,106,no,no,unknown,12,jun,109,2,-1,0,unknown,no
44,ward dubuque,"806 BLICK SQUARE APT. 469\NSCHAMBERGERBURY, NY 08464",entrepreneur,married,secondary,no,93,no,no,cellular,7,jul,125,2,-1,0,unknown,no
26,lia medhurst,"8150 Libbie Circle Ave.\nRunolfsdottirshire, SC 74234-4971",housemaid,married,tertiary,no,543,no,no,cellular,30,jan,169,3,-1,0,unknown,no
41,darryl fisher,"853 jack lights st.\nnorbertochester, me 65138-3002",management,married,tertiary,no,5883,no,no,cellular,20,nov,182,2,-1,0,unknown,no
55,zackary wiegand,"2881BORERFORGEAVE.\NSHANIABOROUGH,AR31629-0543",blue-collar,married,primary,no,627,yes,no,unknown,5,may,247,1,-1,0,unknown,no
67,ansel denesik,"649BOGISICHDRIVESST.\NMELODYVIEW,AA86254-5642",retired,married,unknown,no,696,no,no,telephone,17,aug,119,1,105,2,failure,no
56,merritt waters,"2157B3nn3ttR0adsAv3.\nW3stL3xus,WI06331",self-employed,married,secondary,no,784,no,yes,cellular,30,jul,149,2,-1,0,unknown,no
53,dorothea simonis,"6914 F3rry Squar3s Av3.\nN0rth Jan3ll3sid3, KS 05665",admin.,married,secondary,no,105,no,yes,cellular,21,aug,74,2,-1,0,unknown,no
68,bernard erdman,"76180'C0nn3rP0rtsAv3.\nN3wPi3rc3,DC45919",retired,divorced,secondary,no,4189,no,no,telephone,14,jul,897,2,-1,0,unknown,yes
31,jackson lindgren,"5665 Demond Mews Ave.\nSouth Sterling, MP 05408-7754",technician,married,secondary,no,171,no,no,cellular,27,aug,81,3,-1,0,unknown,no
59,maxine koch,"023 Toy Trace St.\nLake Ronport, MT 18002",management,married,secondary,no,42,no,no,cellular,21,nov,40,1,-1,0,unknown,no
32,suzanne parker,"4175 Morar Gardens Suite 877\nPort Kiley, TN 22738-0535",management,single,tertiary,no,2536,yes,no,cellular,26,aug,958,6,-1,0,unknown,yes
49,stone franecki,"744 ebert pass apt. 595\nsouth silas, mo 00431-7590",technician,married,tertiary,no,1235,no,no,cellular,13,aug,354,3,-1,0,unknown,yes
42,jaren waters,"8841 Wilkinson Passage Ave.\nLindshire, CO 13242",admin.,divorced,secondary,no,1811,yes,no,unknown,14,may,150,1,-1,0,unknown,no
78,presley windler,"0029JayceeKnollAve.\nJustynview,ND24027",retired,divorced,primary,no,229,no,no,telephone,22,oct,97,1,-1,0,unknown,yes
32,aimee volkman,"76848 Olson Causeway\nCleoport, IN 33489",blue-collar,married,secondary,no,2089,yes,no,cellular,14,nov,132,1,-1,0,unknown,yes
33,eulah thiel,"61573HesselGlen\nKerlukehaven,MO78369-8019",management,married,secondary,no,3935,yes,no,cellular,6,may,765,1,342,2,failure,yes
23,rowland satterfield,"98652 Shana Ridges\nNorth Candidaton, WV 90773",services,single,tertiary,no,363,yes,no,unknown,30,may,16,18,-1,0,unknown,no
38,philip hickle,"7575 P0llich Fi3ld Av3.\nLak3 Shani3land, GA 48064-0663",management,single,tertiary,no,11971,yes,no,unknown,17,nov,609,2,101,3,failure,no
36,mariane weimann,"70257K3NYACIRCL3S\NMIN3RVAM0UTH,UT90612",management,single,tertiary,no,553,no,no,cellular,11,aug,106,2,-1,0,unknown,no
52,aditya berge,"4436 dino drives ave.\nport kylee, aa 64435",blue-collar,married,secondary,no,1117,yes,no,cellular,13,may,365,1,-1,0,unknown,no
32,brandi wisoky,"8315 b3tt3 3xt3nsi0ns apt. 868\nra3burgh, mn 06006",technician,married,tertiary,no,396,yes,no,cellular,13,may,205,3,-1,0,unknown,no
32,noah walker,"63878THIELCOURSE\NWESTKAYLINBURGH,FL94175-8223",technician,single,tertiary,no,2204,yes,no,cellular,21,nov,11,4,-1,0,unknown,no
34,russel hayes,"8507 edmund mills ave.\nsouth kiarabury, as 06664-0464",management,single,tertiary,no,872,yes,no,unknown,7,may,105,2,-1,0,unknown,no
